name	Sample	OTU	effect	mean_TPR	mean_FPR
Corncob	100	400	10	0.625625	0.063616667
Corncob	100	400	2	0.042125	0.002861111
Corncob	100	400	5	0.386375	0.032333333
Corncob	100	500	1	3.00E-04	4.44E-05
Corncob	100	500	10	0.6331	0.082466667
Corncob	100	500	2	0.0526	0.005005556
Corncob	100	500	5	0.3957	0.042316667
Corncob	100	800	1	6.25E-05	1.67E-05
Corncob	100	800	10	0.352625	0.049816667
Corncob	100	800	2	0.01825	0.00225
Corncob	100	800	5	0.1891875	0.026327778
Corncob	200	100	1	5.00E-04	3.89E-05
Corncob	200	100	10	0.9615	0.059055556
Corncob	200	100	2	0.3455	0.00855
Corncob	200	100	5	0.8485	0.035466667
Corncob	200	1000	1	1.00E-04	5.56E+06
Corncob	200	1000	10	0.5717	0.124983333
Corncob	200	1000	2	0.061	0.010588889
Corncob	200	1000	5	0.3619	0.067872222
Corncob	200	200	1	5.00E-04	2.78E-05
Corncob	200	200	10	0.87525	0.079833333
Corncob	200	200	2	0.23125	0.009222222
Corncob	200	200	5	0.721	0.044116667
Corncob	200	2000	1	0.00025	6.67E-05
Corncob	200	2000	10	0.448425	0.170488889
Corncob	200	2000	2	0.04175	0.013566667
Corncob	200	2000	5	0.268575	0.095344444
Corncob	200	300	1	0	1.67E-05
Corncob	200	300	10	0.803	0.092588889
Corncob	200	300	2	0.1485	0.008105556
Corncob	200	300	5	0.594666667	0.047294444
Corncob	200	400	1	0.000125	1.11E-05
Corncob	200	400	10	0.82025	0.131933333
Corncob	200	400	2	0.159375	0.011461111
Corncob	200	400	5	0.617625	0.066905556
Corncob	200	500	1	2.00E-04	3.89E-05
Corncob	200	500	10	0.8311	0.168533333
Corncob	200	500	2	0.1703	0.015827778
Corncob	200	500	5	0.6312	0.090138889
Corncob	200	800	1	6.25E-05	0
Corncob	200	800	10	0.559375	0.096227778
Corncob	200	800	2	0.0608125	0.007783333
Corncob	200	800	5	0.36375	0.053588889
Corncob	300	100	1	0.001	6.11E-05
Corncob	300	100	10	0.9815	0.069633333
Corncob	300	100	2	0.486	0.013627778
Corncob	300	100	5	0.922	0.047083333
Corncob	300	1000	1	0	1.11E-05
Corncob	300	1000	10	0.68045	0.19395
Corncob	300	1000	2	0.10735	0.01885
Corncob	300	1000	5	0.4899	0.103388889
Corncob	300	200	1	0	8.89E-05
Corncob	300	200	10	0.9345	0.10295
Corncob	300	200	2	0.3555	0.014477778
Corncob	300	200	5	0.8075	0.060322222
Corncob	300	2000	1	0	0
Corncob	300	2000	10	0.562025	0.256655556
Corncob	300	2000	2	0.0778	0.026005556
Corncob	300	2000	5	0.37205	0.140194444
Corncob	300	300	1	0.000666667	4.44E-05
Corncob	300	300	10	0.8725	0.125011111
Corncob	300	300	2	0.24	0.014661111
Corncob	300	300	5	0.716	0.069522222
Corncob	300	400	1	0	1.11E-05
Corncob	300	400	10	0.892375	0.181461111
Corncob	300	400	2	0.251125	0.020733333
Corncob	300	400	5	0.74075	0.097955556
Corncob	300	500	1	2.00E-04	5.56E+06
Corncob	300	500	10	0.8996	0.241177778
Corncob	300	500	2	0.2601	0.026427778
Corncob	300	500	5	0.7474	0.125744444
Corncob	300	800	1	0.000125	2.78E-05
Corncob	300	800	10	0.67875	0.1558
Corncob	300	800	2	0.114875	0.015427778
Corncob	300	800	5	0.47025	0.0799
Corncob	500	100	1	0	4.44E-05
Corncob	500	100	10	0.993	0.080777778
Corncob	500	100	2	0.6475	0.019616667
Corncob	500	100	5	0.969	0.061272222
Corncob	500	1000	1	5.00E-05	5.56E+06
Corncob	500	1000	10	0.8168	0.35875
Corncob	500	1000	2	0.19765	0.036272222
Corncob	500	1000	5	0.63545	0.17895
Corncob	500	200	1	5.00E-04	0.000122222
Corncob	500	200	10	0.96625	0.159511111
Corncob	500	200	2	0.4865	0.036033333
Corncob	500	200	5	0.8915	0.114588889
Corncob	500	2000	1	0	5.56E+06
